Packet_Number,Timestamp,Source_IP,Destination_IP,Protocol,Length,Source_Port,Destination_Port,Flags,Sequence_Number
66,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49676,RA,693130433
67,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49675,RA,2604380516
68,38:49.1,172.16.1.66,172.16.1.4,6,66,49677,88,S,3002265079
69,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49677,SA,656275590
70,38:49.1,172.16.1.66,172.16.1.4,6,54,49677,88,A,3002265080
71,38:49.1,172.16.1.66,172.16.1.4,6,398,49677,88,PA,3002265080
72,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49677,A,656275591
73,38:49.1,172.16.1.4,172.16.1.66,6,509,88,49677,PA,656277051
74,38:49.1,172.16.1.66,172.16.1.4,6,54,49677,88,A,3002265424
75,38:49.1,172.16.1.66,172.16.1.4,6,54,49677,88,FA,3002265424
76,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49677,A,656277506
77,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49677,RA,656277506
78,38:49.1,172.16.1.66,172.16.1.4,6,66,49678,389,S,310929208
79,38:49.1,172.16.1.4,172.16.1.66,6,66,389,49678,SA,3406228048
80,38:49.1,172.16.1.66,172.16.1.4,6,54,49678,389,A,310929209
81,38:49.1,172.16.1.66,172.16.1.4,6,66,49679,88,S,467965390
82,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49679,SA,468749876
83,38:49.1,172.16.1.66,172.16.1.4,6,54,49679,88,A,467965391
84,38:49.1,172.16.1.66,172.16.1.4,6,398,49679,88,PA,467965391
85,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49679,A,468749877
86,38:49.1,172.16.1.4,172.16.1.66,6,509,88,49679,PA,468751337
87,38:49.1,172.16.1.66,172.16.1.4,6,54,49679,88,A,467965735
88,38:49.1,172.16.1.66,172.16.1.4,6,54,49679,88,FA,467965735
89,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49679,A,468751792
90,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49679,RA,468751792
91,38:49.1,172.16.1.66,172.16.1.4,6,66,49680,88,S,3368746771
92,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49680,SA,1072804754
93,38:49.1,172.16.1.66,172.16.1.4,6,66,49681,88,S,3709306508
94,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49681,SA,437672116
95,38:49.1,172.16.1.66,172.16.1.4,6,54,49680,88,A,3368746772
96,38:49.1,172.16.1.66,172.16.1.4,6,54,49681,88,A,3709306509
97,38:49.1,172.16.1.66,172.16.1.4,6,1514,49680,88,A,3368746772
98,38:49.1,172.16.1.66,172.16.1.4,6,560,49680,88,PA,3368748232
99,38:49.1,172.16.1.66,172.16.1.4,6,1514,49681,88,A,3709306509
100,38:49.1,172.16.1.66,172.16.1.4,6,560,49681,88,PA,3709307969
101,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49680,A,1072804755
102,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49681,A,437672117
103,38:49.1,172.16.1.66,172.16.1.4,6,66,49682,88,S,1920374035
104,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49682,SA,3593887222
105,38:49.1,172.16.1.66,172.16.1.4,6,54,49682,88,A,1920374036
106,38:49.1,172.16.1.66,172.16.1.4,6,1514,49682,88,A,1920374036
107,38:49.1,172.16.1.66,172.16.1.4,6,560,49682,88,PA,1920375496
108,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49681,A,437672117
109,38:49.1,172.16.1.4,172.16.1.66,6,543,88,49681,PA,437673577
110,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49682,A,3593887223
111,38:49.1,172.16.1.66,172.16.1.4,6,54,49681,88,A,3709308475
112,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49680,A,1072804755
113,38:49.1,172.16.1.4,172.16.1.66,6,543,88,49680,PA,1072806215
114,38:49.1,172.16.1.66,172.16.1.4,6,54,49681,88,FA,3709308475
115,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49681,A,437674066
116,38:49.1,172.16.1.66,172.16.1.4,6,54,49680,88,A,3368748738
117,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49681,RA,437674066
118,38:49.1,172.16.1.66,172.16.1.4,6,54,49680,88,FA,3368748738
119,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49680,A,1072806704
120,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49680,RA,1072806704
121,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49682,A,3593887223
122,38:49.1,172.16.1.4,172.16.1.66,6,543,88,49682,PA,3593888683
123,38:49.1,172.16.1.66,172.16.1.4,6,54,49682,88,A,1920376002
124,38:49.1,172.16.1.66,172.16.1.4,6,54,49682,88,FA,1920376002
125,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49682,A,3593889172
126,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49682,RA,3593889172
127,38:49.1,172.16.1.66,172.16.1.4,6,1514,49678,389,A,310929209
128,38:49.1,172.16.1.66,172.16.1.4,6,827,49678,389,PA,310930669
129,38:49.1,172.16.1.66,172.16.1.4,6,1514,49674,389,A,3933339081
130,38:49.1,172.16.1.66,172.16.1.4,6,827,49674,389,PA,3933340541
131,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49678,A,3406228049
132,38:49.1,172.16.1.66,172.16.1.4,6,1514,49673,389,A,939602582
133,38:49.1,172.16.1.66,172.16.1.4,6,827,49673,389,PA,939604042
134,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49674,A,4237793021
135,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49673,A,3551985013
136,38:49.1,172.16.1.4,172.16.1.66,6,257,389,49674,PA,4237793021
137,38:49.1,172.16.1.4,172.16.1.66,6,257,389,49678,PA,3406228049
138,38:49.1,172.16.1.4,172.16.1.66,6,257,389,49673,PA,3551985013
139,38:49.1,172.16.1.66,172.16.1.4,6,97,49678,389,PA,310931442
140,38:49.1,172.16.1.66,172.16.1.4,6,97,49673,389,PA,939604815
141,38:49.1,172.16.1.66,172.16.1.4,6,97,49674,389,PA,3933341314
142,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49673,RA,3551985223
143,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49678,RA,3406228259
144,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49674,RA,4237793231
145,38:49.2,172.16.1.66,172.16.1.4,6,66,49683,135,S,2338049405
146,38:49.2,172.16.1.4,172.16.1.66,6,66,135,49683,SA,954985137
147,38:49.2,172.16.1.66,172.16.1.4,6,54,49683,135,A,2338049406
148,38:49.2,172.16.1.66,172.16.1.4,6,214,49683,135,PA,2338049406
149,38:49.2,172.16.1.4,172.16.1.66,6,162,135,49683,PA,954985138
150,38:49.2,172.16.1.66,172.16.1.4,6,222,49683,135,PA,2338049566
151,38:49.2,172.16.1.4,172.16.1.66,6,322,135,49683,PA,954985246
152,38:49.2,172.16.1.66,172.16.1.4,6,66,49684,49667,S,1691037832
153,38:49.2,172.16.1.4,172.16.1.66,6,66,49667,49684,SA,63397337
154,38:49.2,172.16.1.66,172.16.1.4,6,54,49684,49667,A,1691037833
155,38:49.2,172.16.1.66,172.16.1.4,6,66,49685,88,S,2278056795
156,38:49.2,172.16.1.4,172.16.1.66,6,66,88,49685,SA,1286841800
157,38:49.2,172.16.1.66,172.16.1.4,6,54,49685,88,A,2278056796
158,38:49.2,172.16.1.66,172.16.1.4,6,319,49685,88,PA,2278056796
159,38:49.2,172.16.1.4,172.16.1.66,6,323,88,49685,PA,1286841801
160,38:49.2,172.16.1.66,172.16.1.4,6,54,49685,88,FA,2278057061
161,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49685,A,1286842070
162,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49685,RA,1286842070
163,38:49.2,172.16.1.66,172.16.1.4,6,66,49686,88,S,1489954444
164,38:49.2,172.16.1.4,172.16.1.66,6,66,88,49686,SA,4252932984
165,38:49.2,172.16.1.66,172.16.1.4,6,54,49686,88,A,1489954445
166,38:49.2,172.16.1.66,172.16.1.4,6,398,49686,88,PA,1489954445
167,38:49.2,172.16.1.4,172.16.1.66,6,1514,88,49686,A,4252932985
168,38:49.2,172.16.1.4,172.16.1.66,6,509,88,49686,PA,4252934445
169,38:49.2,172.16.1.66,172.16.1.4,6,54,49686,88,A,1489954789
170,38:49.2,172.16.1.66,172.16.1.4,6,54,49686,88,FA,1489954789
171,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49686,A,4252934900
172,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49686,RA,4252934900
173,38:49.2,,,,42,,,,
174,38:49.2,,,,42,,,,
175,38:49.2,172.16.1.66,172.16.1.4,6,66,49687,88,S,879286666
176,38:49.2,172.16.1.4,172.16.1.66,6,66,88,49687,SA,2030212426
177,38:49.2,172.16.1.66,172.16.1.4,6,54,49687,88,A,879286667
178,38:49.2,172.16.1.66,172.16.1.4,6,1514,49687,88,A,879286667
179,38:49.2,172.16.1.66,172.16.1.4,6,560,49687,88,PA,879288127
180,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49687,A,2030212427
181,38:49.2,172.16.1.4,172.16.1.66,6,1514,88,49687,A,2030212427
182,38:49.2,172.16.1.4,172.16.1.66,6,543,88,49687,PA,2030213887
183,38:49.2,172.16.1.66,172.16.1.4,6,54,49687,88,A,879288633
184,38:49.2,172.16.1.66,172.16.1.4,6,54,49687,88,FA,879288633
185,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49687,A,2030214376
186,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49687,RA,2030214376
187,38:49.2,172.16.1.66,172.16.1.4,6,1514,49684,49667,A,1691037833
188,38:49.2,172.16.1.66,172.16.1.4,6,948,49684,49667,PA,1691039293
189,38:49.2,172.16.1.4,172.16.1.66,6,54,49667,49684,A,63397338
190,38:49.2,172.16.1.4,172.16.1.66,6,338,49667,49684,PA,63397338
191,38:49.2,172.16.1.66,172.16.1.4,6,274,49684,49667,PA,1691040187
192,38:49.2,172.16.1.4,172.16.1.66,6,159,49667,49684,PA,63397622
193,38:49.2,172.16.1.66,172.16.1.4,6,322,49684,49667,PA,1691040407
194,38:49.2,172.16.1.4,172.16.1.66,6,258,49667,49684,PA,63397727
195,38:49.2,172.16.1.66,172.16.1.4,6,338,49684,49667,PA,1691040675
196,38:49.2,172.16.1.4,172.16.1.66,6,482,49667,49684,PA,63397931
197,38:49.2,172.16.1.66,172.16.1.4,6,338,49684,49667,PA,1691040959
198,38:49.2,172.16.1.4,172.16.1.66,6,434,49667,49684,PA,63398359
199,38:49.2,172.16.1.66,172.16.1.4,6,194,49684,49667,PA,1691041243
200,38:49.2,172.16.1.4,172.16.1.66,6,194,49667,49684,PA,63398739
201,38:49.3,172.16.1.66,172.16.1.4,17,100,49844,53,,
202,38:49.3,172.16.1.4,172.16.1.66,17,116,53,49844,,
203,38:49.3,172.16.1.66,172.16.1.4,6,66,49688,389,S,2051778300
204,38:49.3,172.16.1.4,172.16.1.66,6,66,389,49688,SA,2020611441
205,38:49.3,172.16.1.66,172.16.1.4,6,54,49688,389,A,2051778301
206,38:49.3,172.16.1.66,172.16.1.4,6,398,49688,389,PA,2051778301
207,38:49.3,172.16.1.4,172.16.1.66,6,1514,389,49688,A,2020611442
208,38:49.3,172.16.1.4,172.16.1.66,6,1514,389,49688,A,2020612902
209,38:49.3,172.16.1.4,172.16.1.66,6,69,389,49688,PA,2020614362
210,38:49.3,172.16.1.66,172.16.1.4,6,54,49688,389,A,2051778651
211,38:49.3,172.16.1.66,172.16.1.4,6,1514,49688,389,A,2051778651
212,38:49.3,172.16.1.66,172.16.1.4,6,815,49688,389,PA,2051780111
213,38:49.3,172.16.1.4,172.16.1.66,6,54,389,49688,A,2020614377
214,38:49.3,172.16.1.4,172.16.1.66,6,257,389,49688,PA,2020614377
215,38:49.3,172.16.1.66,172.16.1.4,6,54,49683,135,A,2338049734
216,38:49.3,172.16.1.66,172.16.1.4,6,66,49689,88,S,2310311984
217,38:49.3,172.16.1.4,172.16.1.66,6,66,88,49689,SA,327729931
218,38:49.3,172.16.1.66,172.16.1.4,6,54,49689,88,A,2310311985
219,38:49.3,172.16.1.66,172.16.1.4,6,1514,49689,88,A,2310311985
220,38:49.3,172.16.1.66,172.16.1.4,6,504,49689,88,PA,2310313445
221,38:49.3,172.16.1.4,172.16.1.66,6,54,88,49689,A,327729932
222,38:49.3,172.16.1.4,172.16.1.66,6,1514,88,49689,A,327729932
223,38:49.3,172.16.1.4,172.16.1.66,6,447,88,49689,PA,327731392
224,38:49.3,172.16.1.66,172.16.1.4,6,54,49689,88,A,2310313895
225,38:49.3,172.16.1.66,172.16.1.4,6,54,49689,88,FA,2310313895
226,38:49.3,172.16.1.4,172.16.1.66,6,54,88,49689,A,327731785
227,38:49.3,172.16.1.4,172.16.1.66,6,54,88,49689,RA,327731785
228,38:49.3,172.16.1.66,172.16.1.4,6,237,49688,389,PA,2051780872
229,38:49.3,172.16.1.4,172.16.1.66,6,608,389,49688,PA,2020614587
230,38:49.3,172.16.1.66,172.16.1.4,17,126,49844,53,,
231,38:49.3,172.16.1.4,172.16.1.66,17,202,53,49844,,
232,38:49.3,172.16.1.66,172.16.1.4,17,251,49846,389,,
233,38:49.3,172.16.1.4,172.16.1.66,17,229,389,49846,,
234,38:49.3,172.16.1.66,172.16.1.4,6,54,49684,49667,A,1691041383
235,38:49.3,172.16.1.66,172.16.1.4,17,92,49844,53,,
236,38:49.3,172.16.1.66,172.16.1.4,6,54,49688,389,A,2051781055
237,38:49.3,,,,42,,,,
238,38:49.3,172.16.1.66,224.0.0.22,2,62,,,,
239,38:49.4,172.16.1.4,172.16.1.66,17,212,53,49844,,
240,38:49.4,172.16.1.66,20.189.173.16,6,66,49690,443,S,437976431
241,38:49.4,172.16.1.66,172.16.1.4,6,66,49691,389,S,4135970868
242,38:49.4,172.16.1.4,172.16.1.66,6,66,389,49691,SA,3583702938
243,38:49.4,172.16.1.66,172.16.1.4,6,54,49691,389,A,4135970869
244,38:49.4,172.16.1.66,172.16.1.4,6,1514,49691,389,A,4135970869
245,38:49.4,172.16.1.66,172.16.1.4,6,815,49691,389,PA,4135972329
246,38:49.4,172.16.1.4,172.16.1.66,6,54,389,49691,A,3583702939
247,38:49.4,172.16.1.4,172.16.1.66,6,257,389,49691,PA,3583702939
248,38:49.4,172.16.1.66,172.16.1.4,6,230,49691,389,PA,4135973090
249,38:49.4,172.16.1.4,172.16.1.66,6,220,389,49691,PA,3583703149
250,38:49.4,172.16.1.66,172.16.1.4,6,240,49691,389,PA,4135973266
251,38:49.4,172.16.1.4,172.16.1.66,6,214,389,49691,PA,3583703315
252,38:49.4,172.16.1.66,172.16.1.4,6,665,49688,389,PA,2051781055
253,38:49.4,172.16.1.4,172.16.1.66,6,1322,389,49688,PA,2020615141
254,38:49.4,172.16.1.66,172.16.1.4,17,84,49844,53,,
255,38:49.4,172.16.1.4,172.16.1.66,17,100,53,49844,,
256,38:49.4,172.16.1.66,172.16.1.4,6,66,49692,445,S,2515297880
257,38:49.4,172.16.1.4,172.16.1.66,6,66,445,49692,SA,4215765361
258,38:49.4,172.16.1.66,172.16.1.4,6,54,49692,445,A,2515297881
259,38:49.4,172.16.1.66,172.16.1.4,6,213,49692,445,PA,2515297881
260,38:49.4,172.16.1.4,172.16.1.66,6,306,445,49692,PA,4215765362
261,38:49.4,172.16.1.66,172.16.1.4,6,358,49692,445,PA,2515298040
262,38:49.4,172.16.1.4,172.16.1.66,6,430,445,49692,PA,4215765614
263,38:49.4,172.16.1.66,172.16.1.4,6,66,49693,88,S,1124365142
264,38:49.4,172.16.1.4,172.16.1.66,6,66,88,49693,SA,861910086
265,38:49.4,172.16.1.66,172.16.1.4,6,54,49693,88,A,1124365143
266,38:49.4,172.16.1.66,172.16.1.4,6,1514,49693,88,A,1124365143
267,38:49.4,172.16.1.66,172.16.1.4,6,518,49693,88,PA,1124366603
268,38:49.4,172.16.1.4,172.16.1.66,6,54,88,49693,A,861910087
269,38:49.4,172.16.1.4,172.16.1.66,6,176,88,49693,PA,861910087
270,38:49.4,172.16.1.66,172.16.1.4,6,54,49693,88,FA,1124367067
271,38:49.4,172.16.1.4,172.16.1.66,6,54,88,49693,A,861910209
272,38:49.4,172.16.1.4,172.16.1.66,6,54,88,49693,RA,861910209
273,38:49.4,172.16.1.66,172.16.1.4,6,220,49692,445,PA,2515298344
274,38:49.4,172.16.1.4,172.16.1.66,6,471,445,49692,PA,4215765990
275,38:49.4,172.16.1.66,172.16.1.4,6,817,49692,445,PA,2515298510
276,38:49.4,172.16.1.4,172.16.1.66,6,159,445,49692,PA,4215766407
277,38:49.4,172.16.1.66,172.16.1.4,6,192,49692,445,PA,2515299273
278,38:49.4,172.16.1.4,172.16.1.66,6,138,445,49692,PA,4215766512
279,38:49.4,172.16.1.66,172.16.1.4,6,178,49692,445,PA,2515299411
280,38:49.4,172.16.1.4,172.16.1.66,6,322,445,49692,PA,4215766596
281,38:49.4,172.16.1.66,172.16.1.4,17,136,49844,53,,
282,38:49.4,172.16.1.4,172.16.1.66,17,212,53,49844,,
283,38:49.4,172.16.1.66,172.16.1.4,17,251,49847,389,,
284,38:49.4,172.16.1.4,172.16.1.66,17,229,389,49847,,
285,38:49.4,172.16.1.66,172.16.1.4,6,54,49691,389,A,4135973452
286,38:49.5,20.189.173.16,172.16.1.66,6,58,443,49690,SA,2179056000
287,38:49.5,172.16.1.66,20.189.173.16,6,54,49690,443,A,437976432
288,38:49.5,172.16.1.66,172.16.1.4,6,54,49688,389,A,2051781666
289,38:49.5,172.16.1.66,20.189.173.16,6,342,49690,443,PA,437976432
290,38:49.5,20.189.173.16,172.16.1.66,6,54,443,49690,A,2179056001
291,38:49.5,172.16.1.66,172.16.1.4,6,54,49692,445,A,2515299535
292,38:49.5,172.16.1.66,172.16.1.4,17,83,50203,53,,
293,38:49.5,172.16.1.66,172.16.1.4,17,89,57308,53,,
294,38:49.5,172.16.1.4,172.16.1.66,17,176,53,57308,,
295,38:49.6,172.16.1.66,172.16.1.4,6,66,49694,445,S,3591877711
296,38:49.6,172.16.1.4,172.16.1.66,6,66,445,49694,SA,2715322531
297,38:49.6,172.16.1.66,172.16.1.4,6,54,49694,445,A,3591877712
298,38:49.6,172.16.1.66,172.16.1.4,6,213,49694,445,PA,3591877712
299,38:49.6,172.16.1.4,172.16.1.66,6,306,445,49694,PA,2715322532
300,38:49.6,172.16.1.66,172.16.1.4,6,390,49694,445,PA,3591877871
301,38:49.6,172.16.1.4,172.16.1.66,6,430,445,49694,PA,2715322784
302,38:49.6,172.16.1.66,172.16.1.4,6,66,49695,88,S,427303194
303,38:49.6,172.16.1.4,172.16.1.66,6,66,88,49695,SA,3142062502
304,38:49.6,172.16.1.66,172.16.1.4,6,54,49695,88,A,427303195
305,38:49.6,172.16.1.66,172.16.1.4,6,1514,49695,88,A,427303195
306,38:49.6,172.16.1.66,172.16.1.4,6,560,49695,88,PA,427304655
307,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49695,A,3142062503
308,38:49.6,172.16.1.4,172.16.1.66,6,1514,88,49695,A,3142062503
309,38:49.6,172.16.1.4,172.16.1.66,6,543,88,49695,PA,3142063963
310,38:49.6,172.16.1.66,172.16.1.4,6,54,49695,88,A,427305161
311,38:49.6,172.16.1.66,172.16.1.4,6,54,49695,88,FA,427305161
312,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49695,A,3142064452
313,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49695,RA,3142064452
314,38:49.6,172.16.1.66,172.16.1.4,6,66,49696,88,S,979870506
315,38:49.6,172.16.1.4,172.16.1.66,6,66,88,49696,SA,526697980
316,38:49.6,172.16.1.66,172.16.1.4,6,54,49696,88,A,979870507
317,38:49.6,172.16.1.66,172.16.1.4,6,1514,49696,88,A,979870507
318,38:49.6,172.16.1.66,172.16.1.4,6,327,49696,88,PA,979871967
319,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49696,A,526697981
320,38:49.6,172.16.1.4,172.16.1.66,6,1514,88,49696,A,526697981
321,38:49.6,172.16.1.4,172.16.1.66,6,358,88,49696,PA,526699441
322,38:49.6,172.16.1.66,172.16.1.4,6,54,49696,88,A,979872240
323,38:49.6,172.16.1.66,172.16.1.4,6,54,49696,88,FA,979872240
324,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49696,A,526699745
325,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49696,RA,526699745
326,38:49.6,172.16.1.66,172.16.1.4,6,1514,49694,445,A,3591878207
327,38:49.6,172.16.1.66,172.16.1.4,6,1514,49694,445,A,3591879667
328,38:49.6,172.16.1.66,172.16.1.4,6,1136,49694,445,PA,3591881127
329,38:49.6,172.16.1.4,172.16.1.66,6,54,445,49694,A,2715323160
330,38:49.6,172.16.1.4,172.16.1.66,6,314,445,49694,PA,2715323160
331,38:49.6,172.16.1.66,172.16.1.4,6,228,49694,445,PA,3591882209
332,38:49.6,20.189.173.16,172.16.1.66,6,153,443,49690,PA,2179056001
333,38:49.6,172.16.1.66,20.189.173.16,6,54,49690,443,A,437976720
334,38:49.6,172.16.1.4,172.16.1.66,6,138,445,49694,PA,2715323420
335,38:49.6,172.16.1.66,172.16.1.4,6,178,49694,445,PA,3591882383
336,38:49.6,172.16.1.4,172.16.1.66,6,322,445,49694,PA,2715323504
337,38:49.6,172.16.1.66,172.16.1.4,6,518,49694,445,PA,3591882507
338,38:49.6,172.16.1.4,172.16.1.66,6,410,445,49694,PA,2715323772
339,38:49.6,172.16.1.66,172.16.1.4,6,54,49694,445,A,3591882971
340,38:49.6,172.16.1.66,172.16.1.4,6,162,49694,445,PA,3591882971
341,38:49.6,172.16.1.4,172.16.1.66,6,186,445,49694,PA,2715324128
342,38:49.6,172.16.1.66,172.16.1.4,6,162,49694,445,PA,3591883079
343,38:49.6,172.16.1.4,172.16.1.66,6,186,445,49694,PA,2715324260
344,38:49.6,172.16.1.66,172.16.1.4,6,171,49694,445,PA,3591883187
345,38:49.6,172.16.1.4,172.16.1.66,6,160,445,49694,PA,2715324392
346,38:49.6,172.16.1.66,20.189.173.16,6,413,49690,443,PA,437976720
347,38:49.6,20.189.173.16,172.16.1.66,6,54,443,49690,A,2179056100
348,38:49.6,172.16.1.66,172.16.1.4,6,462,49694,445,PA,3591883304
349,38:49.6,172.16.1.4,172.16.1.66,6,378,445,49694,PA,2715324498
350,38:49.6,172.16.1.66,172.16.1.4,6,162,49694,445,PA,3591883712
351,38:49.6,172.16.1.4,172.16.1.66,6,186,445,49694,PA,2715324822
352,38:49.6,172.16.1.66,172.16.1.4,6,260,49694,445,PA,3591883820
353,38:49.6,172.16.1.4,172.16.1.66,6,682,445,49694,PA,2715324954
354,38:49.6,172.16.1.66,172.16.1.4,6,486,49694,445,PA,3591884026
