Packet_Number,Timestamp,Source_IP,Destination_IP,Protocol,Length,Source_Port,Destination_Port,Flags,Sequence_Number
1,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,
2,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,
3,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,
4,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,
5,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,
6,38:49.0,,,,42,,,,
7,38:49.0,,,,42,,,,
8,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,
9,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,
10,38:49.0,,,,42,,,,
11,38:49.0,,,,42,,,,
12,38:49.0,172.16.1.66,172.16.1.4,17,136,57773,53,,
13,38:49.0,172.16.1.4,172.16.1.66,17,212,53,57773,,
14,38:49.0,172.16.1.66,172.16.1.4,17,100,57773,53,,
15,38:49.0,172.16.1.4,172.16.1.66,17,116,53,57773,,
16,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,
17,38:49.0,172.16.1.66,172.16.1.4,17,252,57775,389,,
18,38:49.0,172.16.1.4,172.16.1.66,17,229,389,57775,,
19,38:49.0,172.16.1.66,172.16.1.4,17,252,57775,389,,
20,38:49.0,172.16.1.66,172.16.1.4,17,252,57775,389,,
21,38:49.0,172.16.1.4,172.16.1.66,17,229,389,57775,,
22,38:49.0,172.16.1.66,172.16.1.4,17,252,57775,389,,
23,38:49.0,172.16.1.66,224.0.0.22,2,54,,,,
24,38:49.0,172.16.1.4,172.16.1.66,17,229,389,57775,,
25,38:49.0,172.16.1.4,172.16.1.66,17,229,389,57775,,
26,38:49.0,172.16.1.66,224.0.0.251,17,81,5353,5353,,
27,38:49.0,172.16.1.66,224.0.0.251,17,91,5353,5353,,
28,38:49.0,172.16.1.66,224.0.0.252,17,75,51992,5355,,
29,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,
30,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,
31,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,
32,38:49.1,172.16.1.66,172.16.1.4,17,136,54443,53,,
33,38:49.1,172.16.1.4,172.16.1.66,17,212,53,54443,,
34,38:49.1,172.16.1.66,172.16.1.4,17,252,57775,389,,
35,38:49.1,172.16.1.4,172.16.1.66,17,229,389,57775,,
36,38:49.1,172.16.1.66,172.16.1.4,6,66,49673,389,S,939602231
37,38:49.1,172.16.1.4,172.16.1.66,6,66,389,49673,SA,3551982077
38,38:49.1,172.16.1.66,172.16.1.4,6,66,49674,389,S,3933338730
39,38:49.1,172.16.1.66,172.16.1.4,6,54,49673,389,A,939602232
40,38:49.1,172.16.1.4,172.16.1.66,6,66,389,49674,SA,4237790085
41,38:49.1,172.16.1.66,172.16.1.4,6,54,49674,389,A,3933338731
42,38:49.1,172.16.1.66,172.16.1.4,6,398,49673,389,PA,939602232
43,38:49.1,172.16.1.4,172.16.1.66,6,1514,389,49673,A,3551982078
44,38:49.1,172.16.1.4,172.16.1.66,6,1514,389,49673,A,3551983538
45,38:49.1,172.16.1.4,172.16.1.66,6,69,389,49673,PA,3551984998
46,38:49.1,172.16.1.66,172.16.1.4,6,398,49674,389,PA,3933338731
47,38:49.1,172.16.1.66,172.16.1.4,6,54,49673,389,A,939602582
48,38:49.1,172.16.1.4,172.16.1.66,6,1514,389,49674,A,4237790086
49,38:49.1,172.16.1.4,172.16.1.66,6,1514,389,49674,A,4237791546
50,38:49.1,172.16.1.4,172.16.1.66,6,69,389,49674,PA,4237793006
51,38:49.1,172.16.1.66,172.16.1.4,6,54,49674,389,A,3933339081
52,38:49.1,172.16.1.66,172.16.1.4,6,66,49676,88,S,985437676
53,38:49.1,172.16.1.66,172.16.1.4,6,66,49675,88,S,3088800223
54,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49676,SA,693130163
55,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49675,SA,2604380246
56,38:49.1,172.16.1.66,172.16.1.4,6,54,49676,88,A,985437677
57,38:49.1,172.16.1.66,172.16.1.4,6,54,49675,88,A,3088800224
58,38:49.1,172.16.1.66,172.16.1.4,6,319,49676,88,PA,985437677
59,38:49.1,172.16.1.66,172.16.1.4,6,319,49675,88,PA,3088800224
60,38:49.1,172.16.1.4,172.16.1.66,6,323,88,49675,PA,2604380247
61,38:49.1,172.16.1.4,172.16.1.66,6,323,88,49676,PA,693130164
62,38:49.1,172.16.1.66,172.16.1.4,6,54,49676,88,FA,985437942
63,38:49.1,172.16.1.66,172.16.1.4,6,54,49675,88,FA,3088800489
64,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49676,A,693130433
65,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49675,A,2604380516
