Packet_Number,Timestamp,Source_IP,Destination_IP,Protocol,Length,Source_Port,Destination_Port,Flags,Sequence_Number
1,32:31.3,0.0.0.0,255.255.255.255,17,344,68,67,,
2,32:31.3,172.17.0.17,255.255.255.255,17,349,67,68,,
3,32:31.3,0.0.0.0,255.255.255.255,17,385,68,67,,
4,32:31.3,172.17.0.17,255.255.255.255,17,354,67,68,,
5,32:31.3,,,,60,,,,
6,32:31.3,,,,60,,,,
7,32:31.3,172.17.0.99,172.17.0.17,17,126,59123,53,,
8,32:31.3,172.17.0.99,224.0.0.251,17,81,5353,5353,,
9,32:31.3,172.17.0.17,172.17.0.99,17,192,53,59123,,
10,32:31.3,172.17.0.99,224.0.0.251,17,91,5353,5353,,
11,32:31.3,172.17.0.99,224.0.0.252,17,75,65173,5355,,
12,32:31.3,172.17.0.99,172.17.0.17,17,90,59940,53,,
13,32:31.3,172.17.0.99,172.17.0.17,17,90,51761,53,,
14,32:31.3,172.17.0.17,172.17.0.99,17,169,53,59940,,
15,32:31.3,172.17.0.17,172.17.0.99,17,106,53,51761,,
16,32:31.3,172.17.0.99,172.17.0.17,17,232,59941,389,,
17,32:31.3,172.17.0.99,172.17.0.17,17,156,59940,53,,
18,32:31.3,172.17.0.17,172.17.0.99,17,212,389,59941,,
19,32:31.3,172.17.0.17,172.17.0.99,17,156,53,59940,,
20,32:31.4,172.17.0.99,172.17.0.255,17,110,137,137,,
21,32:31.4,172.17.0.99,172.17.0.255,17,110,137,137,,
22,32:31.4,172.17.0.99,172.17.0.255,17,110,137,137,,
23,32:31.4,172.17.0.99,172.17.0.17,17,126,51761,53,,
24,32:31.4,172.17.0.99,172.17.0.17,6,66,49765,389,S,3082116327
25,32:31.4,172.17.0.17,172.17.0.99,17,192,53,51761,,
26,32:31.4,172.17.0.17,172.17.0.99,6,66,389,49765,SA,2979797376
27,32:31.4,172.17.0.99,172.17.0.17,6,60,49765,389,A,3082116328
28,32:31.4,172.17.0.99,172.17.0.17,17,232,59942,389,,
29,32:31.4,172.17.0.17,172.17.0.99,17,212,389,59942,,
30,32:31.4,172.17.0.99,172.17.0.17,6,1514,49765,389,A,3082116328
31,32:31.4,172.17.0.99,172.17.0.17,6,668,49765,389,PA,3082117788
32,32:31.4,172.17.0.17,172.17.0.99,6,60,389,49765,A,2979797377
33,32:31.4,172.17.0.17,172.17.0.99,6,257,389,49765,PA,2979797377
34,32:31.4,172.17.0.99,172.17.0.17,6,97,49765,389,PA,3082118402
35,32:31.4,172.17.0.99,172.17.0.17,6,60,49765,389,FA,3082118445
36,32:31.4,172.17.0.17,172.17.0.99,6,60,389,49765,RA,2979797587
37,32:31.4,172.17.0.17,172.17.0.99,6,60,389,49765,R,2979797587
38,32:31.6,,,,60,,,,
39,32:31.8,172.17.0.99,172.17.0.17,17,79,62363,53,,
40,32:31.8,172.17.0.99,172.17.0.17,17,79,61360,53,,
41,32:31.8,172.17.0.17,172.17.0.99,17,156,53,62363,,
42,32:31.8,172.17.0.17,172.17.0.99,17,156,53,61360,,
43,32:31.8,,,,60,,,,
44,32:31.8,,,,60,,,,
45,32:31.8,,,,60,,,,
46,32:31.8,,,,60,,,,
47,32:31.8,172.17.0.99,172.17.0.17,17,83,61360,53,,
48,32:31.9,172.17.0.17,172.17.0.99,17,227,53,61360,,
49,32:31.9,172.17.0.99,23.220.251.149,6,66,49766,80,S,3114674525
50,32:31.9,23.220.251.149,172.17.0.99,6,66,80,49766,SA,2838716223
51,32:31.9,172.17.0.99,23.220.251.149,6,60,49766,80,A,3114674526
52,32:31.9,172.17.0.99,23.220.251.149,6,208,49766,80,PA,3114674526
53,32:32.0,23.220.251.149,172.17.0.99,6,60,80,49766,A,2838716224
54,32:32.0,23.220.251.149,172.17.0.99,6,241,80,49766,PA,2838716224
55,32:32.0,23.220.251.149,172.17.0.99,6,60,80,49766,FA,2838716411
56,32:32.0,172.17.0.99,23.220.251.149,6,60,49766,80,A,3114674680
57,32:32.0,172.17.0.99,23.220.251.149,6,60,49766,80,FA,3114674680
58,32:32.0,23.220.251.149,172.17.0.99,6,60,80,49766,A,2838716412
59,32:32.1,,,,60,,,,
60,32:32.1,172.17.0.99,172.17.0.255,17,110,137,137,,
61,32:32.1,172.17.0.99,172.17.0.255,17,110,137,137,,
62,32:32.1,172.17.0.99,172.17.0.255,17,110,137,137,,
63,32:32.6,,,,60,,,,
64,32:32.9,172.17.0.99,172.17.0.255,17,110,137,137,,
65,32:32.9,172.17.0.99,172.17.0.255,17,110,137,137,,
66,32:32.9,172.17.0.99,172.17.0.255,17,110,137,137,,
67,32:33.0,172.17.0.99,172.17.0.17,17,83,64451,53,,
68,32:33.0,172.17.0.17,172.17.0.99,17,227,53,64451,,
69,32:33.0,172.17.0.99,23.220.251.158,6,66,49767,80,S,3682876180
70,32:33.0,23.220.251.158,172.17.0.99,6,66,80,49767,SA,338256496
71,32:33.0,172.17.0.99,23.220.251.158,6,60,49767,80,A,3682876181
72,32:33.0,172.17.0.99,23.220.251.158,6,165,49767,80,PA,3682876181
73,32:33.1,23.220.251.158,172.17.0.99,6,60,80,49767,A,338256497
74,32:33.1,23.220.251.158,172.17.0.99,6,241,80,49767,PA,338256497
75,32:33.1,23.220.251.158,172.17.0.99,6,60,80,49767,FA,338256684
76,32:33.1,172.17.0.99,23.220.251.158,6,60,49767,80,A,3682876292
77,32:33.1,172.17.0.99,23.220.251.158,6,60,49767,80,FA,3682876292
78,32:33.1,,,,60,,,,
79,32:33.1,23.220.251.158,172.17.0.99,6,60,80,49767,A,338256685
80,32:33.6,,,,60,,,,
81,32:33.7,172.17.0.99,172.17.0.255,17,110,137,137,,
82,32:33.7,172.17.0.99,172.17.0.255,17,110,137,137,,
83,32:33.7,172.17.0.99,172.17.0.255,17,110,137,137,,
84,32:34.1,,,,60,,,,
85,32:34.4,172.17.0.99,172.17.0.255,17,110,137,137,,
86,32:34.6,,,,60,,,,
87,32:34.6,172.17.0.99,172.17.0.17,17,231,64452,389,,
88,32:34.6,172.17.0.99,172.17.0.17,17,232,64452,389,,
89,32:34.6,172.17.0.17,172.17.0.99,17,212,389,64452,,
90,32:34.6,172.17.0.17,172.17.0.99,17,212,389,64452,,
91,32:35.2,172.17.0.99,172.17.0.255,17,110,137,137,,
92,32:36.0,172.17.0.99,172.17.0.255,17,110,137,137,,
93,32:36.6,,,,60,,,,
94,32:36.7,,,,60,,,,
95,32:36.7,,,,60,,,,
96,32:36.7,172.17.0.99,172.17.0.255,17,110,137,137,,
97,32:37.5,172.17.0.99,172.17.0.255,17,228,138,138,,
98,32:37.5,172.17.0.99,172.17.0.255,17,243,138,138,,
99,32:37.8,,,,60,,,,
100,32:37.8,,,,60,,,,
101,32:37.9,,,,60,,,,
102,32:37.9,,,,60,,,,
103,32:37.9,,,,60,,,,
104,32:37.9,,,,60,,,,
105,32:37.9,172.17.0.99,172.17.0.17,17,76,64451,53,,
106,32:38.0,172.17.0.17,172.17.0.99,17,92,53,64451,,
107,32:39.8,172.17.0.99,172.17.0.17,17,162,123,123,,
108,32:39.8,172.17.0.17,172.17.0.99,17,162,123,123,,
109,32:49.8,172.17.0.99,172.17.0.17,17,79,64451,53,,
110,32:49.8,172.17.0.99,172.17.0.17,17,79,57960,53,,
111,32:49.8,172.17.0.17,172.17.0.99,17,156,53,64451,,
112,32:49.8,172.17.0.17,172.17.0.99,17,156,53,57960,,
113,32:58.2,172.17.0.99,172.17.0.17,6,66,49768,445,S,4220739681
114,32:58.2,172.17.0.17,172.17.0.99,6,66,445,49768,SA,2387542331
115,32:58.2,172.17.0.99,172.17.0.17,6,60,49768,445,A,4220739682
116,32:58.2,172.17.0.99,172.17.0.17,6,374,49768,445,PA,4220739682
117,32:58.2,172.17.0.17,172.17.0.99,6,430,445,49768,PA,2387542332
118,32:58.2,172.17.0.99,172.17.0.17,6,1514,49768,445,A,4220740002
119,32:58.2,172.17.0.99,172.17.0.17,6,1514,49768,445,A,4220741462
120,32:58.2,172.17.0.99,172.17.0.17,6,814,49768,445,PA,4220742922
121,32:58.2,172.17.0.17,172.17.0.99,6,60,445,49768,A,2387542708
122,32:58.2,172.17.0.17,172.17.0.99,6,314,445,49768,PA,2387542708
123,32:58.2,172.17.0.99,172.17.0.17,6,204,49768,445,PA,4220743682
124,32:58.2,172.17.0.17,172.17.0.99,6,138,445,49768,PA,2387542968
125,32:58.2,172.17.0.99,172.17.0.17,6,178,49768,445,PA,4220743832
126,32:58.2,172.17.0.99,172.17.0.17,6,182,49768,445,PA,4220743956
127,32:58.2,172.17.0.17,172.17.0.99,6,322,445,49768,PA,2387543052
128,32:58.2,172.17.0.17,172.17.0.99,6,270,445,49768,PA,2387543320
129,32:58.2,172.17.0.99,172.17.0.17,6,60,49768,445,A,4220744084
130,33:08.1,172.17.0.99,172.17.0.255,17,228,138,138,,
131,33:08.2,172.17.0.99,172.17.0.255,17,92,137,137,,
132,33:08.2,172.17.0.17,172.17.0.99,17,104,137,137,,
133,33:08.2,172.17.0.99,172.17.0.17,6,66,49769,139,S,1717508067
134,33:08.2,172.17.0.17,172.17.0.99,6,66,139,49769,SA,3911303880
135,33:08.2,172.17.0.99,172.17.0.17,6,126,49769,139,PA,1717508068
136,33:08.2,172.17.0.17,172.17.0.99,6,60,139,49769,PA,3911303881
137,33:08.2,172.17.0.99,172.17.0.17,6,191,49769,139,PA,1717508140
138,33:08.2,172.17.0.17,172.17.0.99,6,263,139,49769,PA,3911303885
139,33:08.2,172.17.0.99,172.17.0.17,6,196,49769,139,PA,1717508277
140,33:08.2,172.17.0.17,172.17.0.99,6,550,139,49769,PA,3911304094
141,33:08.2,172.17.0.99,172.17.0.17,6,294,49769,139,PA,1717508419
142,33:08.2,172.17.0.17,172.17.0.99,6,266,139,49769,PA,3911304590
143,33:08.2,172.17.0.99,172.17.0.17,6,154,49769,139,PA,1717508659
144,33:08.2,172.17.0.17,172.17.0.99,6,114,139,49769,PA,3911304802
145,33:08.2,172.17.0.99,172.17.0.17,6,176,49769,139,PA,1717508759
146,33:08.2,172.17.0.17,172.17.0.99,6,122,139,49769,PA,3911304862
147,33:08.2,172.17.0.99,172.17.0.255,17,228,138,138,,
148,33:08.2,172.17.0.99,172.17.0.17,6,176,49769,139,PA,1717508881
149,33:08.2,172.17.0.17,172.17.0.99,6,122,139,49769,PA,3911304930
150,33:08.2,172.17.0.99,172.17.0.255,17,228,138,138,,
151,33:08.2,172.17.0.99,172.17.0.17,6,60,49769,139,A,1717509003
152,33:13.0,172.17.0.99,172.17.0.17,17,83,57960,53,,
153,33:13.1,172.17.0.17,172.17.0.99,17,156,53,57960,,
154,33:13.4,172.17.0.99,172.17.0.17,6,126,49768,445,PA,4220744084
155,33:13.4,172.17.0.17,172.17.0.99,6,126,445,49768,PA,2387543536
156,33:13.4,172.17.0.99,172.17.0.17,6,126,49768,445,PA,4220744156
157,33:13.4,172.17.0.17,172.17.0.99,6,126,445,49768,PA,2387543608
158,33:13.4,172.17.0.99,172.17.0.17,6,60,49768,445,RA,4220744228
159,33:18.8,172.17.0.99,172.17.0.17,6,93,49769,139,PA,1717509003
160,33:18.8,172.17.0.17,172.17.0.99,6,93,139,49769,PA,3911304998
161,33:18.8,172.17.0.99,172.17.0.17,6,97,49769,139,PA,1717509042
162,33:18.8,172.17.0.17,172.17.0.99,6,97,139,49769,PA,3911305037
163,33:18.8,172.17.0.99,172.17.0.17,6,60,49769,139,FA,1717509085
164,33:18.8,172.17.0.17,172.17.0.99,6,60,139,49769,FA,3911305080
165,33:18.8,172.17.0.99,172.17.0.17,6,60,49769,139,A,1717509086
166,33:38.2,172.17.0.99,172.17.0.17,6,66,49770,139,S,2415848791
167,33:38.2,172.17.0.17,172.17.0.99,6,66,139,49770,SA,2536397275
